live_url,live_status,new_path,new_status,action,in_new_sitemap,notes
https://theburgersleeves.com/product/white-burger-sleeves/,200,/product/white-burger-sleeves/,200,unchanged (200),yes,
https://theburgersleeves.com/product/white-printed-burger-sleeves/,200,/product/white-printed-burger-sleeves/,200,unchanged (200),yes,
https://theburgersleeves.com/refund_returns/,200,/refund_returns/,200,unchanged (200),yes,
https://theburgersleeves.com/shipping-policy/,200,/shipping-policy/,200,unchanged (200),yes,
https://theburgersleeves.com/shop/,200,/shop/,200,unchanged (200),yes,
https://theburgersleeves.com/terms-and-conditions/,200,/terms-and-conditions/,200,unchanged (200),yes,
https://theburgersleeves.com/thank-you/,200,/thank-you/,200,unchanged (200),no,
https://theburgersleeves.com/shop/page/2/,200,/shop/page/2/,200,unchanged (200),no,"paginated archive: 200 on live, self-canonical, never listed in the Yoast sitemap"
https://theburgersleeves.com/shop/page/3/,200,/shop/page/3/,200,unchanged (200),no,"paginated archive: 200 on live, self-canonical, never listed in the Yoast sitemap"
https://theburgersleeves.com/brand/the-burger-sleeves/page/2/,200,/brand/the-burger-sleeves/page/2/,200,unchanged (200),no,"paginated archive: 200 on live, self-canonical, never listed in the Yoast sitemap"
https://theburgersleeves.com/brand/the-burger-sleeves/page/3/,200,/brand/the-burger-sleeves/page/3/,200,unchanged (200),no,"paginated archive: 200 on live, self-canonical, never listed in the Yoast sitemap"
https://theburgersleeves.com/cart/,200,,404,410-equivalent (404),no,"WooCommerce cart — noindex on live, no orders or payment gateway ever configured; retired, returns 404"
https://theburgersleeves.com/checkout/,200,,404,410-equivalent (404),no,"WooCommerce checkout — noindex on live, no payment gateway; retired, returns 404"
https://theburgersleeves.com/my-account/,200,,404,410-equivalent (404),no,"WooCommerce account — noindex on live, no customer accounts; retired, returns 404"
https://theburgersleeves.com/sitemap_index.xml,200,/sitemap.xml,301,301 redirect,no,Yoast sitemap index — 301 to /sitemap.xml
https://theburgersleeves.com/page-sitemap.xml,200,/sitemap.xml,301,301 redirect,no,Yoast child sitemap — 301 to /sitemap.xml
https://theburgersleeves.com/product-sitemap.xml,200,/sitemap.xml,301,301 redirect,no,Yoast child sitemap — 301 to /sitemap.xml
https://theburgersleeves.com/product_cat-sitemap.xml,200,/sitemap.xml,301,301 redirect,no,Yoast child sitemap — 301 to /sitemap.xml
https://theburgersleeves.com/product_brand-sitemap.xml,200,/sitemap.xml,301,301 redirect,no,Yoast child sitemap — 301 to /sitemap.xml
